REVIEW_PANEL|MEDICALSPECIALTY|PRODUCTCODE|DEVICENAME|DEVICECLASS|UNCLASSIFIED_REASON|GMPEXEMPTFLAG|THIRDPARTYFLAG|REVIEWCODE|REGULATIONNUMBER|SUBMISSION_TYPE_ID|DEFINITION|PHYSICALSTATE|TECHNICALMETHOD|TARGETAREA|Implant_Flag|Life_Sustain_support_flag
DE|DE|PNN|Othodontic Software|2||N|N||872.5470|1|The device is software that is to be used for the diagnosis and treatment planning of orthodontic patients and conditions. It may include orthodontic output devices used for the treatment of orthodontics. The device is intended for prescription use only.|Software which may produce an orthodontic appliance|May use software, scanning equipment, CAD/CAM, and printing machines for the fabrication of orthodontic appliances|Intraoral|N|N
DE|DE|POW|Crown And Bridge, Long-Term Temporary, Resin|2||N|N||872.3770|1|For the fabrication of long-term temporary crowns and bridges|Polymeric, may include ceramic filler|Achieves its intended function by providing a patient-matched crown or bridge that is cemented onto a patient's dentition to restore normal mastication|oral cavity|N|N
DE|HO|LFE|Solution, Cold Sterilizing|2||N|P||880.6885|1|||||N|N
DE|HO|ONK|Oral Lubricant|1||N|N||880.6375|1|An oral lubricant  to be used adjacent to hard and soft tissue and the lips to prevent adherence of dental cement; Placement of a rubber dam; And to prevent the lips from drying and cracking during dental procedures.|viscous liquid or gel|direct application|oral hard and soft tissue|N|N
DE|PM|KZM|Device, Muscle Monitoring|2||N|P||890.1375|1|||||N|N
DE|PM|LQX|Device, Finger-Sucking|1||N|N||890.3475|4|||||N|N
DE|PM|NUW|Stimulator, Muscle, Powered, Dental|2||N|P||890.5850|1|Relief of muscle spasms associated with tmj.  Muscle reeducation, increasing blood flow.||||N|N
DE|SU|NVK|Laser, Dental, Soft Tissue|2||N|N||878.4810|1|Intended for the incision,  excision, cutting, ablation, and vaporization of soft tissue in oral and maxillofacial surgery and  dentistry.|Laser Unit & Delivery  System|Laser System|Teeth|N|N
DE|SU|OAJ|Catheter, Drainage, Intraoral/Extraoral|1||N|Y||878.4200|4|To allow continuous drainage of saliva and/or fluid irrigation of the salivary duct as well as assisting in maintaining duct patency during the healing process following removal of salivary gland stones for temporary insertion into the salivary gland, whether orally or through the cheek following endoscopic or surgical removal of salivary gland stones|It is a flexible, single lumen, disposable drainage cannula made of radio-opaque polyurethane material|The drainage cannula is inserted which allows the fluid to drain following endoscopic removal of salivary gland stones|Salivary gland|N|N
DE|SU|PEM|Dental Barriers And Sleeves|2||N|N||878.4370|1|Intended to serve as a disposable  barrier for dental instruments to reduce  the risk of cross contamination between dental patients.|Clear polymer film|Adhesively applied to patient contacting surfaces of reusable dental instruments/devices.|For devices to be used in dental surgery.|N|N
DE||KJJ|Cleanser, Root Canal|U|1|N|N|||1|||||N|N
DE||LFD|Saliva, Artificial|U|1|N|N|||1|||||N|N
DE||LMW|Solution, Removal, Carries|3||N|N|||2|||||N|N
DE||LPG|Material, Dressing, Surgical, Polylactic Acid|3||N|N|||2|||||N|N
DE||LQY|Locator, Root Apex|U|1|N|N|||1|||||N|N
DE||LTG|Paste, Injectable For Vocal Cord Augmentation|3||N|N|||2|||||N|N
DE||LWM|Device, Electrical Dental Anesthesia|U|1|N|N|||1|||||N|N
DE||LYB|Laser, Dental|U|1|N|N|||1|||||N|N
DE||MCL|Kit, Test, In Vitro Periodontal|3||N|N|||2|||||N|N
DE||MQC|Mouthguard, Prescription|U|1|N|N|||1|||||N|N
DE||MVL|Cord, Retraction|U|1|N|N|||1|||||N|N
DE||NSJ|Restoration, Noble Metal|N|6|N|N|||7|Foreign dental lab manufactured noble metal restorations are crowns, bridges, inlays, and onlays that are manufactured as finished products from noble metals.||||N|N
DE||NSK|Dentures, Partial|N|6|N|N|||7|Foreign dental lab manufactured partial dentures are manufactured as finished products from denture resins and other supporting materials.||||N|N
DE||NSL|Dentures, Full|N|6|N|N|||7|Foreign dental lab manufactured full dentures are manufactured as finished products from denture resins.||||N|N
DE||NSM|Restoration, Resin|N|6|N|N|||7|Foreign dental lab manufactured resin restorations are permanent restorations that are manufactured as finished products from resins.||||N|N
DE||NSN|Restoration, Resin, Crown And Bridge|N|6|N|N|||7|Foreign dental lab manufactured resin crown and bridge restorations are crown and bridge restorations that are manufactured as finished products from resins.||||N|N
DE||NSO|Restoration, Porcelain-Fused-To-Metal|N|6|N|N|||7|Foreign dental lab manufactured porecelain-fused-to-metal restorations are porcelain-fused-to-metal crown and bridge restorations that are manufactured as finished products from porcelain and noble or base metal alloys.||||N|N
DE||NSP|Restoration, Porcelain|N|6|N|N|||7|Foreign dental lab manufactured porcelain restorations are full porcelain crown and bridge restorations that are manufactured as finished products from porcelains.||||N|N
DE||NSQ|Restoration, Base Metal|N|6|N|N|||7|Foreign dental lab manufactured base metal restorations are crowns, bridges, inlays, and onlays that are manufactured as finished products from base metals.||||N|N
DE||NSR|Prosthesis, Orthodontic|N|6|N|N|||7|Foreign dental lab manufactured orthodontic prosthesis are finished custom-fit orthodontic prosthesis.||||N|N
DE||NXJ|Denture, Cosmetic Only|N|6|N|N|||7|Intended to improve an individual's appearance only.  Not intended to assist in chewing food.|denture rebasing resin, methylmethacrylate|Functions independently|oral cavity|N|N
DE||NYF|Gingival Retraction Kit|N|6|N|N|||7|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N
DE||OBR|Mouthguard, Over-The-Counter|U|1|N|N|||1|To protect the teeth and reduce damage caused by bruxing or nighttime grinding and prevention of the noise associated with bruxing and grinding.|It is a material similar to a hard methylmethacrylate or a softer thermoplastic resin.|The dental mouthguard is a removable appliance that is fitted to the teeth by taking an immpression of the teeth or using a thermoplastic resin|Oral Cavity|N|N
DE||OCO|Mouthguard, Migraine/Tension Headache|U|1|N|N|||1|A device to be used in the prophylactic treatment of medically diagnosed migraine pain as well as migraine associated tension-type headaches, by reducing their signs and symptoms through reduction of trigeminally innervated muscular activity, and; For the prevention of bruxism and tmj syndrome through reduction of trigeminally innervated muscular activity.|Plastic mouthguard fitted to the teeth|Mouthguard repositions the jaw to reduce muscle tension|Oral cavity|N|N
DE||OLR|Oral Wound Dressing|U|1|N|N|||1|Intended as a physical barrier for temporary protection of oral mucosal tissue and to provide pain relief.  Unclassified status per SE to MGQ.|A viscous liquid or gel|Supplied as an oral rinse or as a gel, liquid or patch to be directly applied to an oral wound|Oral mucosal tissue|N|N
DE||OLS|Oral Wound Dressing W/Drug And/Or Biologic|U|1|N|N|||1|Intended as a physical barrier for temporary protection of oral mucosal tissue and to provide pain relief.  Unclassified status per se to mgq.|A viscous liquid or gel|Supplied as an oral rinse or as a gel, liquid or patch to be directly applied to an oral wound.|Oral mucosal tissue|N|N
DE||PKJ|Crown & Bridge Material, Resin Based|N|3|N|N|||7|Used for dental crown restorations by single crown, bridge, etc, or for indirect repair of dental crown fabrications.|Used for dental crown restorations by single crown, bridge, etc, or for indirect repair of dental crown fabrications|Used for dental crown restorations by single crown, bridge, etc, or for indirect repair of dental crown fabrications|tooth|N|N
EN|AN|OGP|Cricothyrotomy Kit|2||N|N||868.5800|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N
EN|AN|OGV|Tracheostomy Cleaning Tray|2||N|N||868.5800|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N
EN|AN|OGW|Tracheostomy Kit|2||N|N||868.5800|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N
EN|DE|MYB|Pillow,Cervical(For Mild Sleep Apnea)|2||N|N||872.5570|1|||||N|N
EN|DE|NEA|Cement, Ear, Nose And Throat|2||N|N||872.3275|1|||||Y|N
EN|DE|OGT|Oral Irrigation Kit|1||N|N||872.6510|7|This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.|N|N
EN|EN|BST|Currette, Biopsy, Bronchoscope (Non-Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|BTG|Brush, Biopsy, Bronchoscope (Non-Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|BWH|Forceps, Biopsy, Bronchoscope (Non-Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|EMX|Balloon, Epistaxis|1||N|N||874.4100|4|||||N|N
EN|EN|ENW|Catheter, Nasopharyngeal|1||N|N||874.4175|4|||||N|N
EN|EN|ENZ|Telescope, Laryngeal-Bronchial|2||N|P||874.4680|1|||||N|N
EN|EN|EOB|Nasopharyngoscope (Flexible Or Rigid)|2||N|P||874.4760|1|||||N|N
EN|EN|EOQ|Bronchoscope (Flexible Or Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|EOX|Esophagoscope (Flexible Or Rigid)|2||N|P||874.4710|1|||||N|N
EN|EN|EPF|Hearing Aid, Group And Auditory Trainer|2||N|P||874.3320|4|||||N|N
EN|EN|EPN|Pump, Nebulizer, Manual|1||Y|N||874.5220|4|||||N|N
EN|EN|EPP|Splint, Nasal|1||N|N||874.5800|4|||||N|N
EN|EN|EQH|Source, Carrier, Fiberoptic Light|1||N|N||874.4350|4|||||N|N
EN|EN|EQJ|Bur, Ear, Nose And Throat|1||N|N||874.4140|4|||||N|N
EN|EN|EQL|Laryngostroboscope|1||N|N||874.4750|4|||||N|N
EN|EN|EQN|Laryngoscope, Nasopharyngoscope|2||N|P||874.4760|1|||||N|N
EN|EN|ERA|Otoscope|1||N|N||874.4770|4|||||N|N
EN|EN|ERL|Drill, Surgical, Ent (Electric Or Pneumatic) Including Handpiece|2||N|P||874.4250|1|||||N|N
EN|EN|ESD|Hearing Aid, Air Conduction|1||N|N||874.3300|4|||||N|N
EN|EN|ESE|Larynx, Artificial (Battery-Powered)|1||N|N||874.3375|4|||||N|N
EN|EN|ESH|Polymer, Ent Synthetic-Pife, Silicon Elastomer, Polyethylene, Polyurethane|2||N|N||874.3620|1|||||Y|N
EN|EN|ESX|Tack, Sacculotomy (Cody Tack)|2||N|N||874.3760|1|||||Y|N
EN|EN|ESZ|Tube, Shunt, Endolymphatic|2||N|N||874.3820|1|||||Y|N
EN|EN|ETA|Replacement, Ossicular Prosthesis, Total|2||N|N||874.3495|1|||||Y|N
EN|EN|ETB|Prosthesis, Partial Ossicular Replacement|2||N|N||874.3450|1|||||Y|N
EN|EN|ETC|Mold, Middle-Ear|2||N|N||874.3430|4|||||Y|N
EN|EN|ETD|Tube, Tympanostomy|2||N|N||874.3880|1|||||Y|N
EN|EN|ETF|Unit, Examining/Treatment, Ent|1||N|N||874.5300|4|||||N|N
EN|EN|ETK|Tube, Toynbee Diagnostic|1||N|N||874.1925|4|||||N|N
EN|EN|ETM|Gustometer, Sterile|1||N|N||874.1500|4|||||N|N
EN|EN|ETN|Stimulator, Nerve|2||N|P||874.1820|1|||||N|N
EN|EN|ETP|Stimulator, Caloric-Water|1||N|N||874.1800|4|||||N|N
EN|EN|ETR|Adaptor, Short Increment Sensitivity Index (Sisi)|1||N|N||874.1070|4|||||N|N
EN|EN|ETS|Generator, Electronic Noise (For Audiometric Testing)|2||N|P||874.1120|1|||||N|N
EN|EN|ETT|Cushion, Earphone (For Audiometric Testing)|1||N|N||874.1100|4|||||N|N
EN|EN|ETW|Calibrator, Hearing Aid / Earphone And Analysis Systems|2||N|P||874.3310|4|||||N|N
EN|EN|ETY|Tester, Auditory Impedance|2||N|P||874.1090|1|||||N|N
EN|EN|EWA|Set, Audiometer Calibration|1||N|N||874.1080|4|||||N|N
EN|EN|EWC|Chamber, Acoustic (For Audiometric Testing)|1||N|N||874.1060|4|||||N|N
EN|EN|EWG|Laser, Ent Microsurgical Carbon-Dioxide|2||N|Y||874.4500|1|||||N|N
EN|EN|EWL|Prosthesis, Laryngeal (Taub)|2||N|P||874.3730|1|||||N|N
EN|EN|EWO|Audiometer|2||N|N||874.1050|4|||||N|N
EN|EN|EWQ|Saw, Surgical, Ent (Electric Or Pneumatic)|1||N|N||874.4420|4|||||N|N
EN|EN|EWT|Device, Antichoke, Suction|3||N|N||874.5350|2|Call for PMAs on 7/13/99 per 64 FR 18329 on 4/14/99||||N|N
EN|EN|EWW|Device, Antichoke, Tongs|3||N|N||874.5370|2|||||N|N
EN|EN|EWY|Mediastinoscope, Surgical|2||N|P||874.4720|1|||||N|N
EN|EN|FWN|Prosthesis, Larynx (Stents And Keels)|2||N|N||874.3620|1|||||N|N
EN|EN|JAZ|Prosthesis, Facial, Mandibular Implant|2||N|N||874.3695|1|||||Y|N
EN|EN|JEI|Claw, Foreign Body, Bronchoscope (Non-Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|JEJ|Tubing, Instrumentation, Bronchoscope (Brush Sheath A/O Aspirating)|2||N|P||874.4680|1|||||N|N
EN|EN|JEK|Forceps, Biopsy, Bronchoscope (Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|JEL|Curette, Biopsy, Bronchoscope (Rigid)|2||N|P||874.4680|1|||||N|N
EN|EN|JOF|Polymer, Ent Synthetic, Porous Polyethylene|2||N|N||874.3620|1|||||Y|N
EN|EN|JPW|Pump, Nebulizer, Electrically Powered|1||Y|N||874.5220|4|||||N|N
EN|EN|JXS|Block, Cutting, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JXT|Crimper, Wire, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JXW|Die, Wire Bending, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JXX|Forceps, Wire Closure, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JXY|Jig, Piston Cutting, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JXZ|Punch, Gelfoam, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JYA|Scissors, Wire Cutting, Ent, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JYB|Vise, Ossicular Finger, Sterile|1||N|N||874.3540|4|||||N|N
EN|EN|JYE|Chisel, Middle-Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYF|Clamp, Ossicle Holding|1||N|N||874.4420|4|||||N|N
EN|EN|JYG|Curette, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYH|Excavator, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYI|Gauge, Mastoid|1||N|N||874.4420|4|||||N|N
EN|EN|JYJ|Gauge, Measuring|1||N|N||874.4420|4|||||N|N
EN|EN|JYL|Hook, Microsurgical Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYM|Inserter, Myringotomy Tube|1||N|N||874.4420|4|||||N|N
EN|EN|JYN|Inserter, Sacculotomy Tack|1||N|N||874.4420|4|||||N|N
EN|EN|JYO|Knife, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYP|Knife, Myringotomy|1||N|N||874.4420|4|||||N|N
EN|EN|JYQ|Loop, Wire|1||N|N||874.4420|4|||||N|N
EN|EN|JYR|Nipper, Malleus|1||N|N||874.4420|4|||||N|N
EN|EN|JYS|Perforator, Ear-Lobe|1||N|N||874.4420|4|||||N|N
EN|EN|JYT|Pick, Microsurgical Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYW|Press, Vein|1||N|N||874.4420|4|||||N|N
EN|EN|JYX|Punch, Attic|1||N|N||874.4420|4|||||N|N
EN|EN|JYY|Rasp, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JYZ|Rod, Measuring Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JZA|Rongeur, Mastoid|1||N|N||874.4420|4|||||N|N
EN|EN|JZB|Scissors, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JZC|Searcher, Mastoid|1||N|N||874.4420|4|||||N|N
EN|EN|JZD|Snare, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JZE|Spoon, Ear|1||N|N||874.4420|4|||||N|N
EN|EN|JZF|Tube, Ear Suction|1||N|N||874.4420|4|||||N|N
EN|EN|JZY|Knife, Laryngeal|1||N|N||874.4420|4|||||N|N
EN|EN|JZZ|Saw, Laryngeal|1||N|N||874.4420|4|||||N|N
EN|EN|KAA|Set, Laryngeal Injection|1||N|N||874.4420|4|||||N|N
EN|EN|KAB|Trocar, Laryngeal|1||N|N||874.4420|4|||||N|N
EN|EN|KAC|Tube, Laryngectomy|1||N|N||874.4420|4|||||N|N
EN|EN|KAD|Elevator, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAE|Forceps, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAH|Microrule, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAI|Mirror, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAJ|Mobilizer, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAK|Probe, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAL|Retractor, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAO|Curette, Ethmoid|1||N|N||874.4420|4|||||N|N
EN|EN|KAP|Curette, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KAQ|Gouge, Nasal, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KAR|Irrigator, Sinus|1||N|N||874.4420|4|||||N|N
EN|EN|KAS|Knife, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KAT|Perforator, Antrum|1||N|N||874.4420|4|||||N|N
EN|EN|KAW|Punch, Antrum|1||N|N||874.4420|4|||||N|N
EN|EN|KAX|Punch, Ethmoid|1||N|N||874.4420|4|||||N|N
EN|EN|KAY|Punch, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KAZ|Rasp, Frontal-Sinus|1||N|N||874.4420|4|||||N|N
EN|EN|KBA|Rasp, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KBB|Rongeur, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KBC|Saw, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KBD|Scissors, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KBE|Snare, Nasal|1||N|N||874.4420|4|||||N|N
EN|EN|KBF|Trephine, Sinus|1||N|N||874.4420|4|||||N|N
EN|EN|KBG|Trocar, Sinus|1||N|N||874.4420|4|||||N|N
EN|EN|KBH|Adenotome|1||N|N||874.4420|4|||||N|N
EN|EN|KBI|Bougie, Eustachian|1||N|N||874.4175|4|||||N|N
EN|EN|KBJ|Curette, Adenoid|1||N|N||874.4420|4|||||N|N
EN|EN|KBK|Curette, Salpingeal|1||N|N||874.4420|4|||||N|N
EN|EN|KBL|Depressor, Metal Tongue, Surgical|1||N|N||874.4420|4|||||N|N
EN|EN|KBM|Dissector, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KBN|Gag, Mouth|1||N|N||874.4420|4|||||N|N
EN|EN|KBO|Guillotine, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KBP|Hook, Tonsil Suturing|1||N|N||874.4420|4|||||N|N
EN|EN|KBQ|Knife, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KBR|Needle, Tonsil Suturing|1||N|N||874.4420|4|||||N|N
EN|EN|KBS|Punch, Adenoid|1||N|N||874.4420|4|||||N|N
EN|EN|KBT|Punch, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KBW|Screw, Oral|1||N|N||874.4420|4|||||N|N
EN|EN|KBX|Screw, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KBY|Set, Filliform, Eustachian|1||N|N||874.4175|4|||||N|N
EN|EN|KBZ|Snare, Tonsil|1||N|N||874.4420|4|||||N|N
EN|EN|KCA|Tonsillectome|1||N|N||874.4420|4|||||N|N
EN|EN|KCB|Tube, Tonsil Suction|1||N|N||874.4420|4|||||N|N
EN|EN|KCC|Bistoury, Tracheal|1||N|N||874.4420|4|||||N|N
EN|EN|KCD|Bougie, Esophageal, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KCF|Dilator, Esophageal, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KCG|Dilator, Tracheal|1||N|N||874.4420|4|||||N|N
EN|EN|KCH|Hook, Tracheal|1||N|N||874.4420|4|||||N|N
EN|EN|KCI|Trocar, Tracheal|1||N|N||874.4420|4|||||N|N
EN|EN|KCJ|Applicator, Ent|1||Y|N||874.5220|4|||||N|N
EN|EN|KCL|Blower, Powder, Ent|1||Y|N||874.5220|4|||||N|N
EN|EN|KCM|Dropper, Ent|1||Y|N||874.5220|4|||||N|N
EN|EN|KCN|Ear Wick|1||Y|N||874.5220|4|||||N|N
EN|EN|KCO|Inhaler, Nasal|1||Y|N||874.5220|4|||||N|N
EN|EN|KCP|Syringe, Ent|1||Y|N||874.5220|4|||||N|N
EN|EN|KHH|Stimulator, Caloric-Air|1||N|N||874.1800|4|||||N|N
EN|EN|KHJ|Polymer, Ent Synthetic-Polyamide (Mesh Or Foil Material)|2||N|N||874.3620|1|||||Y|N
EN|EN|KHL|Hearing Aid, Master|2||N|P||874.3330|4|||||N|N
EN|EN|KLW|Masker, Tinnitus|2||N|Y||874.3400|1|||||N|N
EN|EN|KLX|Electroglottograph|2||N|P||874.1325|4|||||N|N
EN|EN|KLZ|Tube, Shunt, Endolymphatic With Valve|2||N|N||874.3850|1|||||Y|N
EN|EN|KMA|Irrigator, Powered Nasal|1||N|N||874.5550|4|||||N|N
EN|EN|KQL|Tube, Tympanostomy With Semi-Permeable Membrane|2||N|N||874.3930|1|||||Y|N
EN|EN|KTE|Trocar, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KTF|Punch, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KTG|Knife, Ent|1||N|N||874.4420|4|||||N|N
EN|EN|KTH|Device, Anti-Stammering|1||N|N||874.5840|4|||||N|N
EN|EN|KTI|Bronchoscope Accessory|2||N|Y||874.4680|1|||||N|N
EN|EN|KTR|Tube, Aspirating, Bronchoscope, Rigid|2||N|P||874.4680|1|||||N|N
EN|EN|LBL|Tube, Tympanostomy, Porous Polyethylene|2||N|N||874.3880|1|||||Y|N
EN|EN|LBM|Porous Polyethylene Ossicular Replacement|2||N|N||874.3450|1|||||Y|N
EN|EN|LBN|Replacement, Total Ossicular, Prosthesis, Porous, Polyethylene|2||N|N||874.3495|1|||||Y|N
EN|EN|LBP|Replacement, Ossicular (Stapes) Using Absorbable Gelatin Material|2||N|N||874.3450|1|||||Y|N
EN|EN|LDG|Kit, Earmold, Impression|1||N|N||874.3300|4|||||N|N
EN|EN|LJW|Tracheotome|1||N|N||874.4420|4|||||N|N
EN|EN|LMS|Laser, Microsurgical Argon, For Uses Other Than Otology, Including Laryngology & General Use In Otolarngology|2||N|Y||874.4490|1|||||N|N
EN|EN|LRB|Face Plate Hearing Aid|1||N|N||874.3300|4|||||N|N
EN|EN|LRC|Instrument, Ent Manual Surgical|1||N|N||874.4420|4|||||N|N
EN|EN|LRD|Applicator, Ent Drug|1||Y|N||874.5220|4|||||N|N
